id,coverage_original,Necessity_Flip_Rate,Necessity_Control_Flip_Rate,Sufficiency_Stay_Rate,Sufficiency_Control_Stay_Rate,Necessity_Faithfulness,Sufficiency_Faithfulness,Bucket
1,0.3000,1.0000,0.5000,0.5000,0.0000,1.0000,0.5000,Local
2,0.5385,0.7500,0.2500,0.5000,0.0000,0.7500,0.5000,Mixed
6,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Global
7,0.6667,0.7500,0.2500,0.5000,0.2500,0.7500,0.5000,Mixed
8,0.5000,1.0000,0.5000,0.5000,0.7500,1.0000,0.5000,Mixed
10,0.4667,1.0000,0.7500,0.5000,0.0000,1.0000,0.5000,Mixed
11,0.4667,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
12,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Global
13,0.2000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,Local
14,0.0870,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
15,0.0714,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,Local
16,0.6667,0.0000,0.0000,1.0000,0.7500,0.0000,1.0000,Mixed
17,0.1389,0.7500,0.0000,0.7500,0.0000,0.7500,0.7500,Local
18,0.6667,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
19,0.0833,1.0000,0.0000,0.2500,0.0000,1.0000,0.2500,Local
20,0.5455,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
21,0.7931,1.0000,0.2500,0.7500,0.5000,1.0000,0.7500,Mixed
22,0.2857,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
23,0.6000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
24,0.4667,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
25,0.3000,0.0000,0.2500,1.0000,1.0000,0.0000,1.0000,Local
26,0.0769,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
27,0.2222,0.0000,0.2500,1.0000,1.0000,0.0000,1.0000,Local
28,0.2500,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
29,0.0952,0.2500,0.2500,1.0000,1.0000,0.2500,1.0000,Local
30,0.5000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
31,0.8571,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Global
32,0.6154,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
33,0.2353,0.0000,0.2500,1.0000,0.7500,0.0000,1.0000,Local
34,0.0909,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
35,0.6667,1.0000,0.7500,0.2500,0.2500,1.0000,0.2500,Mixed
36,0.0750,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Local
37,0.1667,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
38,0.6364,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
39,0.3333,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
41,0.2500,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
42,0.0769,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
44,0.8333,1.0000,0.0000,1.0000,0.7500,1.0000,1.0000,Global
45,0.3158,1.0000,0.2500,1.0000,0.2500,1.0000,1.0000,Local
46,0.3500,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
48,0.3333,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
50,0.5000,0.0000,0.2500,0.5000,0.5000,0.0000,0.5000,Mixed
51,1.0000,1.0000,0.5000,0.5000,0.5000,1.0000,0.5000,Global
52,0.4167,1.0000,1.0000,0.0000,0.2500,1.0000,0.0000,Mixed
53,0.4000,1.0000,0.7500,0.2500,0.0000,1.0000,0.2500,Local
54,0.5000,1.0000,0.2500,0.5000,0.0000,1.0000,0.5000,Mixed
55,1.0000,1.0000,0.0000,0.7500,0.2500,1.0000,0.7500,Global
56,0.6923,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
58,0.1333,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
59,0.6154,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
63,0.1333,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
64,0.1667,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
65,0.7273,1.0000,0.2500,0.2500,0.5000,1.0000,0.2500,Mixed
66,0.3333,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
67,0.1111,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
68,0.8333,0.7500,0.2500,1.0000,0.7500,0.7500,1.0000,Global
69,0.2800,1.0000,0.0000,0.2500,0.0000,1.0000,0.2500,Local
70,0.2222,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
71,0.3750,1.0000,0.7500,0.0000,0.2500,1.0000,0.0000,Local
74,0.4286,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
75,0.3158,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
77,0.2222,1.0000,0.2500,0.0000,0.0000,1.0000,0.0000,Local
78,0.1111,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
79,0.2222,0.7500,0.2500,0.7500,0.2500,0.7500,0.7500,Local
80,0.1905,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Local
81,0.4444,1.0000,0.0000,0.5000,0.0000,1.0000,0.5000,Mixed
82,0.7000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
83,0.7143,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
84,1.0000,1.0000,0.0000,0.7500,0.7500,1.0000,0.7500,Global
85,0.2000,1.0000,0.0000,0.5000,0.2500,1.0000,0.5000,Local
86,0.4167,0.7500,0.2500,1.0000,0.5000,0.7500,1.0000,Mixed
87,0.1765,1.0000,0.2500,0.0000,0.0000,1.0000,0.0000,Local
88,0.2353,0.2500,0.2500,0.0000,0.0000,0.2500,0.0000,Local
89,0.8000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,Mixed
90,0.8750,0.2500,0.0000,1.0000,1.0000,0.2500,1.0000,Global
91,0.2143,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Local
92,0.6250,1.0000,0.2500,0.7500,0.0000,1.0000,0.7500,Mixed
93,0.4375,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,Mixed
95,0.0833,0.0000,0.2500,1.0000,1.0000,0.0000,1.0000,Local
97,0.2000,1.0000,0.7500,0.0000,0.0000,1.0000,0.0000,Local
99,0.4000,1.0000,0.5000,0.0000,0.0000,1.0000,0.0000,Local
101,0.4000,1.0000,0.0000,0.7500,0.2500,1.0000,0.7500,Local
