id,coverage_original,Necessity_Flip_Rate,Necessity_Control_Flip_Rate,Sufficiency_Stay_Rate,Sufficiency_Control_Stay_Rate,Necessity_Faithfulness,Sufficiency_Faithfulness,Bucket
1,0.2000,0.0000,0.0000,0.7500,0.2500,0.0000,0.5000,Local
2,0.5385,0.0000,0.0000,0.7500,0.7500,0.0000,0.0000,Mixed
6,0.7500,0.7500,0.0000,1.0000,0.7500,0.7500,0.2500,Mixed
7,0.5714,1.0000,1.0000,0.2500,0.7500,0.0000,-0.5000,Mixed
8,0.7500,0.7500,0.0000,1.0000,1.0000,0.7500,0.0000,Mixed
10,0.4667,0.2500,0.2500,0.5000,0.5000,0.0000,0.0000,Mixed
11,0.4667,0.0000,0.5000,0.7500,0.5000,-0.5000,0.2500,Mixed
12,0.1538,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,Local
13,0.2000,0.0000,0.0000,0.7500,0.7500,0.0000,0.0000,Local
14,0.0870,1.0000,0.5000,0.5000,0.0000,0.5000,0.5000,Local
15,0.3571,0.0000,0.0000,0.5000,0.2500,0.0000,0.2500,Local
16,0.6667,1.0000,0.2500,0.5000,0.5000,0.7500,0.0000,Mixed
17,0.0833,0.0000,0.0000,0.2500,0.0000,0.0000,0.2500,Local
18,0.4167,0.2500,0.2500,0.5000,0.5000,0.0000,0.0000,Mixed
19,0.6667,0.2500,0.7500,0.5000,0.2500,-0.5000,0.2500,Mixed
20,0.6364,0.5000,0.5000,0.2500,0.0000,0.0000,0.2500,Mixed
21,0.7241,1.0000,0.2500,0.5000,0.2500,0.7500,0.2500,Mixed
22,0.2857,0.2500,0.0000,0.7500,0.7500,0.2500,0.0000,Local
23,0.3000,0.5000,0.0000,0.5000,0.5000,0.5000,0.0000,Local
24,0.4667,0.5000,0.0000,0.2500,0.2500,0.5000,0.0000,Mixed
25,0.6000,0.0000,0.2500,1.0000,0.7500,-0.2500,0.2500,Mixed
26,0.6923,0.2500,0.5000,0.2500,0.5000,-0.2500,-0.2500,Mixed
27,0.1111,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,Local
28,0.4375,0.7500,0.0000,0.5000,0.2500,0.7500,0.2500,Mixed
29,0.4286,0.5000,0.5000,0.7500,0.5000,0.0000,0.2500,Mixed
30,0.1667,0.5000,0.0000,0.2500,0.5000,0.5000,-0.2500,Local
31,0.8571,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Global
32,0.3077,1.0000,0.2500,0.2500,0.7500,0.7500,-0.5000,Local
33,0.5882,0.2500,0.5000,0.7500,0.7500,-0.2500,0.0000,Mixed
34,0.3636,0.2500,0.5000,0.5000,1.0000,-0.2500,-0.5000,Local
35,0.5000,0.7500,0.7500,0.2500,0.2500,0.0000,0.0000,Mixed
36,0.1250,1.0000,0.0000,1.0000,0.5000,1.0000,0.5000,Local
37,0.1111,0.0000,0.0000,0.5000,0.2500,0.0000,0.2500,Local
38,0.8182,0.2500,0.2500,0.2500,0.7500,0.0000,-0.5000,Global
39,0.5333,0.0000,0.0000,0.7500,0.5000,0.0000,0.2500,Mixed
41,0.1667,0.0000,0.0000,0.7500,0.5000,0.0000,0.2500,Local
42,0.8462,0.7500,0.0000,0.7500,0.5000,0.7500,0.2500,Global
44,0.5000,0.5000,0.2500,1.0000,0.7500,0.2500,0.2500,Mixed
45,0.3158,1.0000,0.0000,0.7500,0.0000,1.0000,0.7500,Local
46,0.4000,0.0000,0.0000,0.7500,0.2500,0.0000,0.5000,Local
48,0.2778,0.2500,0.2500,0.7500,0.7500,0.0000,0.0000,Local
50,0.7000,0.2500,0.0000,1.0000,1.0000,0.2500,0.0000,Mixed
51,1.0000,0.0000,0.2500,0.7500,0.7500,-0.2500,0.0000,Global
52,0.4167,0.2500,0.2500,0.0000,0.2500,0.0000,-0.2500,Mixed
53,0.4000,1.0000,0.0000,1.0000,0.5000,1.0000,0.5000,Local
54,1.0000,0.2500,0.2500,0.7500,0.5000,0.0000,0.2500,Global
55,0.5000,0.7500,0.7500,0.7500,0.2500,0.0000,0.5000,Mixed
56,0.3077,0.2500,0.0000,0.7500,0.2500,0.2500,0.5000,Local
58,0.3333,1.0000,0.2500,0.5000,0.2500,0.7500,0.2500,Local
59,0.1538,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,Local
63,0.2667,0.0000,0.0000,0.7500,0.7500,0.0000,0.0000,Local
64,0.3333,0.0000,0.2500,0.5000,0.2500,-0.2500,0.2500,Local
65,0.3636,0.7500,0.2500,1.0000,0.5000,0.5000,0.5000,Local
66,0.3333,0.5000,0.7500,0.2500,0.0000,-0.2500,0.2500,Local
67,0.4444,0.2500,0.2500,0.5000,0.7500,0.0000,-0.2500,Mixed
68,0.8333,0.0000,0.2500,0.7500,0.2500,-0.2500,0.5000,Global
