id,coverage_original,Necessity_Flip_Rate,Necessity_Control_Flip_Rate,Sufficiency_Stay_Rate,Sufficiency_Control_Stay_Rate,Necessity_Faithfulness,Sufficiency_Faithfulness,Bucket
1,0.8000,0.2500,0.2500,1.0000,0.7500,0.0000,0.2500,Mixed
2,0.4615,0.2500,0.0000,0.7500,0.2500,0.2500,0.5000,Mixed
6,0.5000,0.0000,0.2500,0.7500,0.7500,-0.2500,0.0000,Mixed
7,0.4762,1.0000,0.2500,0.2500,0.2500,0.7500,0.0000,Mixed
8,0.7500,0.7500,0.0000,1.0000,0.7500,0.7500,0.2500,Mixed
11,0.6000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Mixed
12,0.6154,0.0000,0.5000,0.2500,0.7500,-0.5000,-0.5000,Mixed
13,0.2000,0.2500,0.2500,0.5000,0.7500,0.0000,-0.2500,Local
14,0.0870,0.5000,0.5000,0.0000,0.2500,0.0000,-0.2500,Local
15,0.0714,0.2500,0.2500,0.7500,0.7500,0.0000,0.0000,Local
16,0.2000,1.0000,0.2500,0.5000,0.0000,0.7500,0.5000,Local
17,0.0833,0.5000,0.5000,0.2500,0.2500,0.0000,0.0000,Local
18,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,Global
19,0.2500,0.7500,0.5000,0.7500,0.0000,0.2500,0.7500,Local
20,0.2727,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,Local
21,0.4483,1.0000,0.0000,0.7500,0.2500,1.0000,0.5000,Mixed
22,0.4286,0.0000,0.0000,1.0000,0.7500,0.0000,0.2500,Mixed
23,0.9000,0.7500,0.2500,0.5000,0.2500,0.5000,0.2500,Global
24,0.2000,0.2500,0.0000,1.0000,0.5000,0.2500,0.5000,Local
25,0.6000,0.0000,0.0000,0.7500,1.0000,0.0000,-0.2500,Mixed
26,0.6154,0.2500,0.0000,0.5000,0.7500,0.2500,-0.2500,Mixed
27,0.1111,0.2500,0.2500,0.2500,0.5000,0.0000,-0.2500,Local
28,0.3750,1.0000,0.5000,0.7500,0.0000,0.5000,0.7500,Local
29,0.4286,0.7500,0.0000,0.2500,0.2500,0.7500,0.0000,Mixed
30,0.6667,0.5000,0.2500,0.7500,0.7500,0.2500,0.0000,Mixed
31,0.8571,0.0000,0.2500,1.0000,1.0000,-0.2500,0.0000,Global
32,0.3846,0.7500,0.0000,0.7500,0.2500,0.7500,0.5000,Local
33,0.4706,0.0000,0.5000,0.7500,0.7500,-0.5000,0.0000,Mixed
34,0.6364,0.2500,0.7500,0.5000,0.2500,-0.5000,0.2500,Mixed
35,0.6667,0.7500,0.2500,0.7500,0.0000,0.5000,0.7500,Mixed
36,0.0750,0.7500,0.2500,1.0000,0.2500,0.5000,0.7500,Local
37,0.3889,0.2500,0.5000,0.2500,0.5000,-0.2500,-0.2500,Local
38,0.8182,0.5000,0.0000,0.2500,0.0000,0.5000,0.2500,Global
39,0.6000,0.2500,0.2500,0.7500,0.5000,0.0000,0.2500,Mixed
41,0.1667,0.0000,0.0000,0.7500,1.0000,0.0000,-0.2500,Local
42,0.7692,0.7500,0.2500,0.7500,0.0000,0.5000,0.7500,Mixed
44,0.5000,0.7500,0.5000,0.5000,0.2500,0.2500,0.2500,Mixed
45,0.1053,0.7500,0.5000,0.7500,0.0000,0.2500,0.7500,Local
46,0.4000,0.0000,0.0000,0.7500,0.7500,0.0000,0.0000,Local
48,0.2222,0.7500,0.2500,0.5000,0.7500,0.5000,-0.2500,Local
50,0.4000,0.2500,0.0000,0.7500,0.7500,0.2500,0.0000,Local
51,1.0000,0.5000,1.0000,0.2500,0.2500,-0.5000,0.0000,Global
52,0.6667,0.5000,0.2500,0.0000,0.2500,0.2500,-0.2500,Mixed
